iter	Passed	Remaining
0	9	27700
1	17	26197
2	25	25360
3	33	25254
4	42	25606
5	49	24881
6	57	24727
7	65	24425
8	76	25347
9	84	25363
10	93	25503
11	102	25431
12	110	25308
13	118	25226
14	126	25106
15	134	25127
16	143	25239
17	152	25306
18	159	24994
19	167	24899
20	177	25132
21	184	24996
22	191	24766
23	198	24564
24	205	24508
25	214	24538
26	222	24538
27	230	24459
28	239	24510
29	247	24502
30	255	24488
31	263	24421
32	270	24308
33	278	24319
34	285	24202
35	294	24245
36	303	24302
37	311	24294
38	319	24234
39	326	24196
40	334	24160
41	342	24103
42	350	24119
43	360	24237
44	368	24191
45	376	24155
46	382	24060
47	392	24130
48	398	24024
49	407	24035
50	415	24011
51	422	23953
52	430	23952
53	439	23956
54	446	23901
55	454	23873
56	461	23847
57	470	23889
58	480	23974
59	487	23896
60	495	23873
61	503	23859
62	513	23957
63	520	23900
64	528	23864
65	536	23856
66	544	23843
67	552	23821
68	559	23777
69	562	23557
70	571	23595
71	579	23571
72	587	23553
73	596	23572
74	604	23574
75	613	23585
76	620	23561
77	628	23532
78	636	23548
79	643	23492
80	652	23523
81	661	23544
82	668	23494
83	676	23477
84	684	23480
85	693	23488
86	699	23421
87	705	23353
88	714	23383
89	721	23312
90	729	23307
91	737	23306
92	744	23282
93	753	23296
94	761	23280
95	771	23336
96	779	23325
97	788	23335
98	797	23358
99	804	23337
100	812	23307
101	819	23271
102	826	23252
103	834	23234
104	840	23180
105	847	23143
106	854	23115
107	863	23130
108	871	23118
109	878	23093
110	886	23083
111	895	23086
112	902	23047
113	910	23056
114	919	23065
115	929	23098
116	936	23079
117	944	23079
118	954	23120
119	964	23158
120	973	23151
121	981	23158
122	989	23140
123	996	23102
124	1004	23110
125	1013	23120
126	1022	23136
127	1030	23111
128	1037	23079
129	1044	23063
130	1052	23044
131	1058	22990
132	1065	22970
133	1074	22976
134	1083	22993
135	1092	22999
136	1099	22978
137	1107	22963
138	1115	22954
139	1124	22965
140	1131	22940
141	1138	22914
142	1144	22875
143	1150	22826
144	1158	22802
145	1165	22786
146	1174	22785
147	1182	22791
148	1190	22778
149	1199	22790
150	1208	22798
151	1215	22783
152	1221	22738
153	1228	22710
154	1236	22700
155	1244	22694
156	1253	22699
157	1259	22663
158	1269	22683
159	1278	22696
160	1286	22683
161	1294	22675
162	1302	22667
163	1310	22662
164	1344	23103
165	1373	23456
166	1382	23457
167	1402	23640
168	1410	23628
169	1417	23591
170	1425	23582
171	1431	23536
172	1439	23517
173	1447	23508
174	1452	23454
175	1461	23454
176	1467	23412
177	1475	23388
178	1483	23386
179	1491	23362
180	1500	23366
181	1508	23352
182	1516	23346
183	1524	23329
184	1531	23299
185	1540	23312
186	1546	23267
187	1553	23240
188	1561	23218
189	1569	23213
190	1576	23181
191	1584	23171
192	1594	23190
193	1603	23185
194	1612	23190
